"boro_ct201","n_bldgs","res_units","res_area"
3053000,375,1215,1287726
3053100,274,1679,2206050
3053200,296,995,1191594
3053300,535,1841,1774831
3053400,418,1357,1487505
3053500,274,1281,1209621
3053700,198,858,1101036
3053800,267,2281,2273650
3053900,49,822,1000358
3054200,428,1629,1807693
3054300,74,182,223214
3054400,450,1363,1535342
3054500,26,2292,2483226
3054600,282,2514,2688510
3054700,187,2671,3166550
3054800,363,804,1033768
3054900,219,2476,2462115
3055000,302,1611,1747235
3055100,394,2929,2491907
3055200,276,1519,1580458
3055300,294,1670,1404282
3055400,315,1810,1776546
3055500,254,4623,4564399
3055600,395,1411,1632579
3055700,191,1326,975876
3055800,342,956,1049384
3056000,366,1541,1845898
3056100,509,1771,1590724
3056200,461,533,761526
3056300,434,3642,3001338
3056400,511,1034,1057355
3056500,425,1927,1707537
3056600,393,986,983473
3056800,366,509,497011
3056900,277,870,691086
3057000,301,1473,1529216
3057100,592,2163,1754550
3057200,4,2204,2233841
3057300,374,1264,1059853
3057400,583,846,793752
3057500,473,2602,2079519
3057600,458,946,1026979
3057800,383,1149,1233463
3057900,305,624,518630
3058000,355,1261,1162858
3058200,368,1057,1071081
3058400,403,1512,1442512
3058600,448,761,733800
3058800,287,1520,1433311
3058900,332,932,799137
3059000,320,659,584144
3059100,476,1920,1582307
3059200,406,1710,1609831
3059300,364,982,897756
3059401,1066,2957,2812670
3059402,921,2031,1850767
3059600,206,1164,1184247
3059800,454,1332,1314566
3060000,770,2834,2937756
3060600,220,1483,1272400
3060800,262,1758,1679251
3061002,80,2325,2781834
3061003,230,637,510299
3061004,367,3451,2954004
3061200,264,497,812591
3061600,419,599,912195
3062000,482,683,1156234
3062200,378,1481,1408022
3062600,386,1130,1129553
3062800,2249,1911,2026924
3063200,202,710,710196
3063600,407,454,502572
3063800,384,637,613402
3064000,437,525,630851
3064200,344,1050,1256772
3064400,534,871,852441
3064600,539,674,728495
3064800,442,629,709781
3065000,333,484,575959
3065200,379,435,467732
3065400,500,555,639676
3065600,617,623,678906
3065800,536,743,665634
3066000,500,620,674123
3066200,410,582,531790
3066600,5,0,0
3067000,498,1003,812545
3067200,315,413,385415
3067400,500,596,670479
3067600,390,515,483173
3067800,465,826,899430
3068000,482,576,561300
3068200,597,814,779514
3068600,255,673,670838
3068800,461,587,605017
3069000,480,607,708117
3069200,503,762,807922
3069601,424,1403,1516787
3069602,1187,2253,2554112
3069800,422,545,673135
3070000,410,716,724072
3070201,1902,2529,3557353
3070202,10,0,0
3070203,1,0,0
3070600,764,1060,1219407
3072000,288,617,679813
3072200,577,887,789485
3072400,412,610,559684
3072600,556,624,716321
3072800,457,1420,1363906
3073000,485,680,733105
3073200,429,654,699389
3073400,366,485,584478
3073600,362,1140,1108853
3073800,438,1101,1129821
3074000,382,1041,1090444
3074200,504,924,1096237
3074400,500,625,881022
3074600,410,663,727890
3074800,347,675,934852
3075000,460,948,1268861
3075200,302,337,839271
3075400,345,442,790850
3075600,350,676,939361
3075800,408,775,1139157
3076000,294,1121,1528788
3076200,258,1670,1998505
3076400,181,1489,1737397
3076600,112,758,946867
3076800,461,1627,1788555
3077000,254,1014,1221621
3077200,360,1194,1598545
3077400,165,1144,1204027
3077600,348,1629,1634022
3078000,470,606,754647
3078200,345,1563,1307058
3078400,396,715,890724
3078600,318,1750,1673773
3078800,283,1307,1114718
3079000,438,1844,1863040
3079200,436,1400,1360875
3079400,274,837,708999
3079601,225,1888,1883164
3079602,157,1971,2074003
3079801,287,1280,1576231
3079802,106,2690,2500929
3080000,565,1413,1564153
3080200,395,1864,1931797
3080400,406,1350,1259121
3080600,367,1227,1222846
3080800,17,502,575092
3081000,229,1082,949791
3081400,414,914,879610
3081600,318,944,935917
3081800,237,2296,2195179
3082000,215,2253,2138647
3082200,249,3536,3266364
3082400,522,1979,1762141
3082600,587,2050,1772010
3082800,384,1410,1306976
3083000,346,2250,1981089
3083200,429,709,715697
3083400,409,541,565749
3083600,417,710,520009
3083800,531,693,740635
3084000,450,683,741556
3084600,445,666,630774
3084800,372,562,574366
3085000,361,459,454851
3085200,2,0,0
3085400,381,744,605042
3085600,379,1407,1276616
3085800,401,788,753304
3086000,460,1136,1099197
3086200,367,1111,1037842
3086400,354,741,702318
3086600,391,1239,1090037
3086800,412,1170,1071354
3087000,390,1130,993940
3087200,381,1019,1009452
3087401,300,1393,1122685
3087600,254,716,631128
3087800,227,929,793243
3088000,349,1240,1136456
3088200,455,2533,2377431
3088400,441,1897,1608186
3088600,300,1684,1425719
3088800,387,1417,1261154
3089000,387,2212,1879850
3089200,214,1568,1324753
3089400,496,1217,1157988
3089600,310,1549,1279023
3089800,346,683,675949
3090000,408,2007,1965651
3090200,467,1223,1271764
3090600,197,1660,1546775
3090800,294,2046,1250727
3091000,57,2316,1804944
3091200,9,2335,3080697
3091600,418,1757,1617610
3091800,368,977,982812
3092000,449,1105,1060158
3092200,170,1252,1237483
3092400,371,1050,1030538
3092800,365,1011,830687
3093000,477,847,702382
3093200,374,386,355938
3093400,517,894,649875
3093600,307,619,512792
3093800,330,882,818800
3094401,550,1063,1127321
3094402,2,1188,987444
3094600,401,729,557383
3095000,462,917,954480
3095400,715,1413,1553603
3095600,569,1212,1209106
3095800,568,1124,1070300
3096000,130,1,1170
3096200,307,493,459670
3096400,401,739,651479
3096600,418,715,643940
3096800,300,427,424193
3097000,358,667,615033
3097400,370,559,463855
3098200,8,1620,1306094
3098400,327,582,619588
3098600,450,893,727794
3098800,400,969,769009
3099000,298,471,415688
3099200,315,578,551597
3099400,284,617,594279
3099600,565,1114,1096395
3099800,533,1244,1237382
3100400,373,938,842588
3100600,461,835,649597
3100800,379,679,540030
3101000,430,721,648928
3101200,457,736,487669
3101400,459,755,491384
3101600,272,451,451671
3101800,279,782,636972
3102000,410,598,636840
3102200,402,721,601253
3102400,363,626,615515
3102600,410,854,903392
3102800,245,501,496159
3103400,7,1610,1526800
3105801,10,4784,4106480
3105804,60,3170,3768099
3107000,417,1099,1346920
3107800,442,1750,1455863
3109800,406,635,556028
3110400,647,1713,1437412
3110600,6,1899,1996702
3111000,2,1316,924881
3111600,556,996,996493
3111800,418,1011,923785
3112000,441,1063,951743
3112200,410,1111,945616
3112400,509,1327,1213248
3112600,390,1436,1370359
3112800,553,1406,1233326
3113000,504,1572,1504442
3113200,448,900,958453
3113400,137,792,838758
3114201,293,510,536242
3114202,242,786,798442
3114400,520,759,658751
3114600,408,849,853952
3115000,453,889,829263
3115200,441,960,972721
3115600,207,1750,1713968
3115800,462,1012,944487
3116000,358,854,802224
3116200,470,799,798988
3116400,556,978,916926
3116600,444,1022,926167
3116800,336,650,566851
3117000,267,526,559072
3117201,327,669,768275
3117202,468,1109,1023766
3117400,542,1117,1133697
3117601,319,741,726882
3117602,397,878,853599
3117800,234,444,398092
3118000,12,0,0
3118201,381,779,745325
3118202,363,827,762518
3118400,655,1355,1268980
3118600,395,753,725788
3118800,510,1188,1064951
3119000,282,585,518098
3119200,487,1136,963012
3119400,549,1299,1167663
3119600,696,1815,1517534
3119800,567,1008,886402
3120000,275,726,652207
3120200,224,437,418655
3120800,811,2119,1908546
3121000,2,1444,1136208
3121400,4,1919,1647240
3122000,748,2056,1913151
3123700,467,1626,1967116
3150200,558,1106,993736
3152200,540,1153,1899138
4000000,1217,56,43288
4000100,208,6236,6027627
4000200,469,909,898290
4000400,683,1241,1197729
4000600,655,1105,1031381
4000700,680,3822,3461621
4000800,640,996,982530
4001000,550,987,991463
4001200,581,1254,1401583
4001400,589,1189,1263480
4001600,528,779,842237
4001800,486,896,955064
4001900,405,9670,8414827
4002000,325,510,572440
4002200,312,725,757685
4002400,326,661,699729
4002500,6,3149,2174450
4002600,352,622,778802
4002800,472,974,932328
4003000,263,431,520400
4003100,233,1017,822196
4003200,306,474,473716
4003300,438,2719,2263569
4003400,417,639,611672
4003600,516,983,873132
4003700,21,337,366098
4003800,365,733,692787
4003900,214,452,412590
4004001,345,709,679004
4004002,196,393,363613
4004200,565,1122,994788
4004300,65,1064,893644
4004401,524,969,941589
4004500,185,1543,1834422
4004700,168,1633,1370780
4005000,2,0,0
4005100,222,961,806698
4005200,375,825,694907
4005300,514,2589,2073368
4005400,1109,1660,1600756
4005500,199,626,358634
4005700,330,1949,1476227
4005800,1233,2040,1890137
4005900,445,1959,1544591
4006100,516,3309,2317238
4006201,116,2956,2861333
4006202,766,2278,2443156
4006300,557,2904,2300770
4006501,264,1968,1531689
4006502,441,1911,1571888
4006900,449,2396,2070824
4007100,405,2042,1650664
4007300,206,2429,1925959
4007500,188,2330,1876205
4007700,200,996,791708
4007900,320,1493,1228936
4008100,163,800,704556
4008300,329,1312,1150113
4008500,297,416,314798
4008600,630,955,954625
4008700,89,2533,2037352
4008800,806,1205,1213689
4009100,246,1276,1099560
4009400,482,842,807444
4009500,343,1014,883713
4009600,607,836,859536
4009700,615,1628,1274735
4009800,408,767,712232
4009900,3,0,0
4010000,615,892,987326
4010100,488,1149,932447
4010200,502,736,813515
4010300,473,1886,1498786
4010400,554,890,917120
4010500,227,1756,1348591
4010600,489,866,881513
4010701,26,0,0
4010800,456,801,832958
4011000,454,848,826313
4011100,425,1233,1055993
4011200,403,734,715588
4011300,406,1921,1543175
4011400,220,379,341484
4011500,397,1169,939606
4011600,339,587,614183
4011700,634,1750,1422075
4011800,384,668,697909
4011900,234,815,610603
4012000,344,628,655710
4012100,387,954,862585
4012200,425,858,914048
4012301,773,1363,1216204
4012400,398,781,834934
4012500,216,762,617591
4012601,388,727,722644
4012602,427,754,757626
4012800,322,720,843096
4013000,307,552,716905
4013200,286,662,769897
4013400,169,2857,2844956
4013500,356,645,583670
4013600,179,922,990828
4013700,281,817,737008
4013800,272,1492,1493555
4014000,436,1512,1512987
4014100,267,727,544282
4014201,531,1316,1239276
4014202,473,654,615865
4014300,368,1810,1354640
4014400,306,583,574367
4014500,388,1030,816574
4014700,403,1407,1147772
4014800,342,534,564501
4014900,283,1042,855145
4015000,380,607,639001
4015100,334,1233,938892
4015200,436,735,719739
4015300,318,998,813348
4015400,332,641,613777
4015500,387,1028,854389
4015600,510,823,847136
4015700,100,778,530108
4015801,681,992,987597
4015802,791,1198,1138709
4015900,397,1998,1506993
4016100,260,848,717840
4016300,161,1706,1425059
4016400,597,842,839037
4016600,562,927,863599
4016800,546,773,744629
4016900,490,2419,2012943
4017000,493,707,669687
4017100,106,0,0
4017200,450,616,576861
4017400,507,671,652471
4017600,443,622,620435
4017800,434,572,542462
4017900,201,444,329740
4018000,259,349,319177
4018101,145,1728,1421335
4018102,101,2052,1742343
4018200,604,703,713164
4018300,414,2762,2227047
4018401,368,646,692661
4018402,501,636,635121
4018501,183,1633,1371002
4018502,153,1578,1335989
4018600,390,500,502059
4018700,483,1118,912783
4018800,299,404,426721
4018900,334,1406,1136857
4019000,529,639,633190
4019200,520,668,640865
4019400,645,824,847940
4019600,467,834,834629
4019800,495,914,866151
4019900,291,219,166804
4020200,316,417,445179
4020400,472,605,586164
4020500,339,358,280389
4020600,295,529,509664
4020800,548,1635,1168511
4021200,336,675,642879
4021400,629,2090,1930110
4021600,229,1758,1633061
4021900,188,3,1792
4022001,273,3017,2769400
4022002,513,2675,2534570
4022900,19,0,600
4023000,337,499,580923
4023200,463,1863,1834930
4023500,461,2486,1722443
4023600,230,1312,1269411
4023800,249,1580,1361964
4024000,248,2149,1872989
4024300,1067,1879,1854757
4024500,356,2261,2265507
4024600,27,0,0
4024700,154,549,433196
4024900,412,2151,1879387
4025100,413,2306,2075542
4025301,194,2059,1585045
4025302,142,1256,1003165
4025400,1163,2725,2607915
4025500,307,537,533675
4025700,264,563,476222
4025800,421,550,593992
4025900,324,1157,1047736
4026000,311,839,868531
4026100,477,9033,1855538
4026200,328,398,406532
4026300,471,2129,1767961
4026400,511,810,754809
4026500,338,1600,1338785
4026600,308,777,716286
4026700,293,2076,1712669
4026901,205,1565,1345918
4026902,138,1434,1245132
4027000,419,516,505855
4027100,242,2646,2348566
4027200,436,549,543797
4027300,319,2377,2084065
4027400,406,561,525291
4027500,376,2031,1935107
4027600,256,367,386710
4027700,275,2764,2458882
4027800,167,1275,1316479
4027900,246,2319,2192268
4028000,374,514,544384
4028100,190,2419,2494578
4028200,420,514,565157
4028300,164,3157,2798194
4028400,797,1063,1119466
4028500,131,2185,2389378
4028700,126,2840,2705825
4028800,1053,1357,1323904
4028900,292,2094,1972811
4029100,460,2401,2203250
4029300,224,367,324970
4029400,1386,2291,2137883
4029500,276,1675,1438175
4029700,551,764,729305
4029900,17,0,72705
4030600,1036,1298,1336185
4030902,1004,2771,2296235
4030903,996,1894,1817814
4030904,517,1134,1082437
4031700,819,2583,2322375
4032000,954,1132,1174293
4032700,476,1049,951584
4032800,516,765,828193
4032900,756,982,1001801
4033000,1464,1981,2115318
4033401,772,1349,1402500
4033402,336,6247,7120865
4033700,497,873,854949
4033900,358,1076,1041643
4034700,547,947,842103
4035100,315,1456,1357365
4035200,685,738,812059
4035300,376,727,627200
4035700,841,1256,1249379
4035800,933,1289,1434885
4036100,374,746,641161
4036300,327,649,543867
4036500,444,895,786538
4036600,735,982,1048014
4036700,498,786,835228
4036800,568,777,908976
4037100,307,490,624090
4037300,322,772,718655
4037500,325,1014,885849
4037600,1532,1948,1971141
4037700,353,893,809680
4037900,541,1386,1261860
4038100,534,1765,1625063
4038301,131,0,0
4038302,26,0,0
4038400,645,845,838985
4039400,706,1025,1111190
4039800,375,479,615034
4039900,347,1119,875313
4040000,342,419,565846
4040100,540,1761,1536249
4040200,375,438,568602
4040300,502,1631,1422316
4040400,853,1293,1369765
4040500,265,775,623353
4040700,561,1773,1481996
4040900,368,1201,1007321
4041100,413,885,743795
4041300,393,1118,997044
4041400,781,1301,1347502
4041500,392,1074,929842
4042400,714,756,1091534
4042600,7,0,0
4042700,451,1263,1126323
4043200,325,397,496858
4043400,443,513,572216
4043701,250,896,811659
4043702,329,2311,2179078
4043900,462,1258,1021527
4044000,829,1192,1146463
4044301,230,1589,1378759
4044302,448,1440,1331737
4044400,696,1175,1139614
4044601,137,1197,1139429
4044602,228,1751,1312720
4044800,325,726,785940
4045000,399,570,642372
4045200,86,199,231385
4045400,359,1449,1444640
4045500,27,4617,4430257
4045600,230,309,418551
4045700,380,1078,1076973
4045800,277,679,868281
4045900,402,1073,1049866
4046000,281,1937,1549174
4046100,308,752,730256
4046200,516,2410,2176516
4046300,346,1072,968932
4046400,198,519,762885
4046500,345,972,861858
4046600,135,1499,1404728
4046700,319,2025,1854951
4046800,560,1218,1170409
4046900,275,2629,2433162
4047000,588,842,889968
4047100,355,1416,1254815
4047200,566,1332,1676252
4047300,260,2123,1881587
4047500,581,1808,1673631
4047600,455,459,969807
4047800,691,2257,2428532
4047900,791,2110,1755385
4048000,484,660,768820
4048100,265,1851,1514171
4048200,277,412,597747
4048300,466,1283,1213240
4048400,980,1534,1552801
4048500,469,1753,1751752
4048900,387,793,520211
4049200,543,1813,1684068
4049301,483,770,775538
4049302,554,1042,943176
4049500,261,523,520148
4049600,707,875,984061
4049700,611,1035,990519
4049900,910,1636,1433887
4050000,334,1925,1484466
4050201,294,407,538342
4050202,314,402,512863
4050400,358,508,672032
4050500,293,654,628999
4050600,364,427,618016
4050700,847,1364,1375882
4050800,425,657,699947
4051000,369,468,560167
4051100,550,856,896603
4051200,645,747,937575
4051300,504,861,874517
4051500,525,1330,1305316
4051600,434,579,671450
4051700,460,835,757572
4051800,487,584,665001
4052000,381,426,543956
4052100,467,729,634860
4052200,380,420,525108
4052400,425,537,666741
4052500,476,799,724694
4052600,443,562,628314
4052800,355,499,529197
4053000,569,663,739536
4053100,755,1301,1101827
4053200,479,550,644648
4053401,475,605,677640
4053500,312,407,320628
4053601,396,462,598599
4053800,376,454,583062
4053900,700,1425,1265504
4054000,918,1192,1329207
4054200,1199,1462,1682072
4054500,304,1336,1091170
4054700,387,1412,1289311
4054800,539,606,727681
4054900,390,1693,1504536
4055100,401,1758,1608387
4055200,457,1025,1027801
4055300,278,1108,931621
4055400,511,721,788707
4055500,297,675,610172
4055600,560,632,740122
4055700,489,1374,1280294
4055800,441,494,629541
4055900,177,397,313600
4056000,385,475,554831
4056100,22,0,0
4056200,353,422,506157
4056400,311,561,645828
4056500,317,562,502083
4056600,350,447,568747
4056700,998,1602,1660986
4056800,989,1399,1541313
4057700,544,1407,1292073
4057900,193,709,607033
4058000,883,1006,1188608
4058100,375,1077,995270
4058200,1035,1226,1387156
4058300,481,1332,1269586
4058500,556,1533,1442633
4058700,427,1348,1262870
4058900,402,1668,1421566
4059000,314,351,382052
4059100,611,2053,1707786
4059200,325,352,384214
4059300,622,1676,1586219
4059400,468,492,562949
4059500,792,1825,1613138
4059600,398,434,543455
4059800,450,541,611817
4059900,369,620,593841
4060000,364,379,459771
4060100,433,853,772399
4060300,405,688,643860
4060600,406,442,498205
4060701,3,2,1512
4060800,364,444,503975
4061000,352,374,437541
4061200,460,471,572664
4061301,763,2050,1978310
4061302,2,0,0
4061400,332,346,414040
4061601,662,667,813710
4061602,386,359,479645
4061800,282,686,658503
4061900,595,1176,1038889
4062000,471,479,666488
4062100,590,1108,1015519
4062200,594,619,754621
4062300,402,821,756874
4062400,2,0,0
4062500,524,1008,942838
4062600,742,851,908186
4062700,533,1103,1076347
4062900,480,1200,1105711
4063000,493,502,654555
4063200,611,641,833941
4063301,355,614,591510
4063302,407,640,643103
4063500,565,1067,1117317
4063700,934,1266,1416596
4063800,946,984,1200767
4063900,488,1175,1248993
4064101,48,964,1081694
4064102,2,0,0
4064500,567,786,797756
4064600,774,921,1134390
4065000,737,838,1116032
4065400,646,892,963323
4065501,2,0,0
4065600,931,1469,1597860
4065702,337,779,751953
4065703,696,1141,1174940
4065900,494,746,758460
4066000,695,987,1109801
4066100,449,674,679322
4066300,847,1017,1207153
4066400,1899,3016,3153613
4066501,820,1484,1506872
4066701,754,1114,1119042
4066900,488,769,815123
4067100,818,867,980443
4067700,583,744,852974
4067900,437,1735,1474913
4068000,1101,1488,1620732
4068200,314,384,433296
4068300,68,1606,1674067
4068700,420,1889,1800106
4069000,639,992,1051593
4069300,162,1315,1255421
4069400,673,1016,1082178
4069500,425,953,1097609
4069701,109,1991,1727938
4069702,817,1499,1762081
4070300,526,881,911657
4070700,654,998,1163471
4070900,598,1094,1165700
4071100,452,2939,2645776
4071303,41,2777,2797388
4071304,62,2934,3243266
4071305,101,2569,2731969
4071306,249,3017,2855525
4071600,7,0,0
4071701,75,2810,2728212
4071702,41,2127,2042672
4071900,306,1014,991304
4072100,255,2334,2272233
4072300,642,841,1694591
4072900,435,526,667110
4073100,510,598,720620
4073700,227,1242,1413990
4073900,130,2955,3346062
4074100,141,1621,1750101
4074300,333,1858,1796416
4074500,162,1599,1451459
4074700,307,1407,1431227
4074900,564,581,1363615
4075701,104,2726,2554507
4075702,332,2470,2914646
4076901,241,2220,2421919
4076902,89,681,713066
4077300,114,1183,1382870
4077500,262,1002,1306268
4077902,1183,1782,2330606
4077903,124,1199,1133743
4077904,917,2289,2351281
4077905,60,1242,1190199
4077906,297,1507,1480192
4077907,372,1061,1052869
4077908,78,1475,1369626
4078800,472,555,541207
4079000,541,797,776104
4079200,544,1064,759290
4079300,1,0,0
4079701,94,3018,2738947
4079702,229,1766,1613469
4079900,564,1103,1171469
4080301,691,1325,1359008
4080302,892,1181,1239707
4080900,624,2809,2714550
4081400,856,1049,1037170
4081800,721,1038,1028277
4083700,1292,1740,1762251
4083800,1064,1538,1622627
4084000,1328,1962,1985787
4084500,296,2041,1874470
4084601,566,902,969050
4084602,210,259,269254
4084900,362,2852,2451566
4085300,129,2253,2114990
4085500,53,2695,2394099
4085700,110,2051,1877395
4085900,152,2249,2015343
4086100,196,971,985014
4086300,115,2729,2364283
4086400,517,742,1585281
4086500,106,2395,1741527
4086900,467,1024,887301
4087100,280,1673,1617708
4088400,2483,2887,3316474
4088901,525,4627,4389634
4089200,2552,2540,4266636
4090700,434,469,463226
4091601,35,2838,2411300
4091602,2,0,0
4091800,16,9,22154
4091900,928,1740,1678460
4092200,812,893,1673448
4092500,671,1231,1166583
4092800,1049,1403,2101044
4092900,1296,2317,2615669
4093401,815,1804,1753182
4093402,525,2012,1865938
4093800,324,2442,2045618
4093900,914,1748,1954032
4094201,360,1332,1460360
4094202,635,1840,1833645
4094203,176,2761,2959671
4094500,1230,1432,2267789
4094700,531,824,823569
4095400,1113,2151,2139792
4096400,1048,1934,2074227
4097202,19,1091,1060148
4097203,485,2468,2289567
4097204,323,1199,1207368
4097300,689,760,1165188
4098100,785,853,1430590
4098700,768,951,1280979
4099100,1218,3021,4667963
4099200,551,1557,1483225
4099701,518,1290,1375579
4099703,450,2036,2516218
4099704,143,4007,4292514
4099705,252,1107,1349539
4099801,570,2504,2339014
4099802,456,2772,2177952
4099900,1,0,0
4100801,554,640,937022
4100802,1166,2397,2907286
4101001,728,3270,3398477
4101002,677,1777,2203226
4101700,1262,2482,2728684
4102900,607,1205,1433981
4103201,515,2008,2043581
4103202,750,1896,2359330
4103300,1120,1574,1850285
4103900,1500,2258,2629402
4104700,1329,2874,3173523
4105900,1184,1328,1757351
4107201,1130,977,1198660
4107202,7,0,0
4108500,700,954,1181648
4109300,1048,1095,1828060
4109700,551,706,960623
4109900,936,1208,1268672
4111300,758,876,1425228
4112300,422,794,849829
4112900,485,914,1177970
4113300,375,653,725464
4113900,649,1449,1503348
4114100,812,878,1326179
4114700,527,625,988836
4115100,349,394,705633
4115500,350,702,820789
4115700,486,1300,1426766
4115900,429,1423,1608943
4116100,152,1600,1523744
4116300,319,2978,2751615
4116700,259,656,622216
4117100,502,992,1134991
4117500,820,1995,2269184
4118100,394,743,743152
4118500,293,709,736910
4118700,329,744,838312
4118900,392,703,787238
4119100,524,1083,1103755
4119300,419,767,892044
4119500,345,444,539710
4119900,359,463,653867
4120100,325,485,561595
4120300,345,491,603451
4120500,375,1007,943041
4120700,688,922,1105299
4121100,10,0,0
4121500,884,1368,1343084
4122300,856,1184,1450955
4122701,643,4415,4406058
4122702,194,2900,2856775
4124100,1055,1296,1588919
4124700,1083,1192,1616089
4125700,546,1102,1063136
4126500,395,578,557288
4126700,603,682,1339203
4127700,1214,1189,2602173
4128300,6,0,0
4129102,1005,1274,2072492
4129103,280,2138,2213253
4129104,454,1928,1970701
4130100,571,1582,1896379
4133300,1153,1364,1908904
4133900,440,466,639448
4134100,908,1080,1404812
4134700,371,4006,3871045
4136700,771,2145,2355420
4137700,625,2438,2508160
4138501,994,1491,2036310
4138502,8,0,0
4139900,551,578,824917
4140300,736,785,981408
4140901,277,322,413219
4140902,726,886,1161708
4141700,1254,1573,1948359
4142900,1047,1303,1646152
4143500,635,761,967837
4144100,584,1193,1258422
4144700,736,1023,1041651
4145101,394,500,573454
4145102,611,851,919585
4145900,771,963,1191580
4146300,450,1014,1024637
4146700,400,1343,1280891
4147100,682,1339,1534502
4147900,1092,1714,2036059
4148300,1079,1084,2321710
4150701,1012,1118,1895028
4150702,963,1220,1912447
4152901,644,2345,2877252
4152902,771,2280,2513904
4155101,1,1844,2690565
4155102,540,3588,3094181
4156700,121,250,242600
4157101,1831,2550,2811337
4157102,429,576,652897
4157901,1350,1759,2153590
4157902,1112,1108,1616296
4157903,1175,1369,1680550
4161700,1382,1514,1797321
4162100,1416,2064,2264966
5000000,1683,33,48605
5000300,175,1208,1250856
5000600,546,1337,1389599
5000700,283,2290,2242846
5000800,1566,1953,2183800
5000900,365,843,904721
5001100,684,1453,1530092
5001700,419,664,766232
5001800,1,0,0
5002001,486,1253,1363552
5002002,627,1094,1300943
5002100,1054,2147,1846090
5002700,287,478,453995
5002900,855,1972,1859015
5003300,793,1447,1874015
5003600,689,861,908840
5003900,169,1116,1228861
5004000,2197,4522,4829404
5004700,693,1180,1183213
5005000,936,1530,2084283
5005900,751,1187,1570229
5006400,818,1294,1509410
5006700,801,1090,1554230
5007000,2350,2798,3083425
5007400,1034,1612,1675750
5007500,712,1198,1303203
5007700,448,571,602910
5008100,942,1751,1938135
5009601,1059,1557,1760373
5009602,981,1468,1578252
5009700,863,1521,1711192
5010500,1311,1743,2019356
5011201,2131,2085,2362791
5011202,2112,2376,2541705
5011401,550,1367,1275630
5011402,908,1406,1518531
5012100,1180,1201,1704759
5012200,1241,1540,1837687
5012500,721,1025,1196977
5012804,1410,1663,1770641
5012805,1103,884,1061344
5012806,1201,2556,2732955
5013201,558,597,785328
5013203,1645,2248,2620781
5013204,1491,1946,2336305
5013301,17,648,559873
5013302,918,1027,1149541
5013400,1244,1625,1841936
5013800,2116,2427,3468450
5014100,585,961,989507
5014604,1825,2583,3093251
5014605,1228,1409,1798439
5014606,1741,2333,2961759
5014607,1220,1684,2005909
5014608,1060,1269,1560676
5014700,1012,1530,1829810
5015100,1681,2101,2548799
5015400,1,0,0
5015601,2182,2545,3066001
5015602,1177,1193,1765185
5015603,1519,1689,2270808
5016901,906,1135,1324771
5017005,1505,1816,2595279
5017007,1733,1783,2428284
5017008,2155,2636,3539518
5017009,1278,1730,2380034
5017010,2399,3085,4151441
5017011,1264,1796,2180862
5017012,1330,1664,2030118
5017300,427,939,1127841
5017600,1917,1802,3776877
5017700,2446,2511,5583250
5018100,1018,1251,2349745
5018701,571,643,750811
5018702,1715,2318,2662794
5018901,1750,2120,2430558
5018902,1262,1775,2109113
5019700,654,742,876436
5019800,2184,2412,4159403
5020100,995,1285,1446796
5020700,1348,2051,2032397
5020801,2132,3370,4979582
5020803,1888,2643,3748945
5020804,1594,2068,2918472
5021300,1236,1699,1882941
5022300,811,947,1081345
5022600,3045,2969,4355911
5022800,63,33,38812
5023100,1007,1389,1485294
5023900,832,1080,1122066
5024401,1784,2129,3602908
5024402,1344,1719,2647477
5024700,618,969,932333
5024800,1460,1822,2413373
5025100,1569,2117,2593006
5027301,878,1636,2240330
5027302,889,1284,1636383
5027702,450,2799,3114927
5027704,986,1439,1916579
5027705,1226,1773,2395662
5027706,527,1074,1373797
5027900,801,664,1261778
5029102,1245,1057,1327043
5029103,1621,2716,3323946
5029104,1639,2446,2889102
5030301,727,1683,1808298
5030302,1257,2076,2493783
5031901,356,1082,995187
5031902,896,1729,1721687
5032300,304,471,494212
