"lon","lat","boro_ct201","avg_price_1y","sd_price_1y","med_price_1y","n_sales_1y","avg_price_3y","sd_price_3y","med_price_3y","n_sales_3y","avg_price_5y","sd_price_5y","med_price_5y","n_sales_5y","year","n_bldgs","res_units","res_area","bldg_age"
-73.8654215,40.85647759,"2022403",114.270819474379,40.4130403392044,123.002511709999,9,117.030702963692,42.5492354637846,123.002511709999,27,120.636256404568,43.7149044488881,123.334222143328,34,2017,28,1329,1350847,85.5555555555556
-73.81994159,40.76126958,"4086300",412.1083821063,203.69141445781,361.388366736385,59,390.514988841281,185.380158150366,326.873011281458,153,369.264984606144,169.082431358572,322.816548265775,244,2017,115,2729,2364283,47.4454545454545
-73.99326733,40.71595662,"1001600",1411.9625673388,530.045558189233,1455.26379609912,14,1294.3423856827,507.406386143537,1348.78419452888,33,1165.08319919907,442.64150976557,1190.02525252525,85,2017,314,2588,1735540,101.111111111111
-73.97351598,40.62762294,"3046201",440.327486511376,189.250117931627,363.079615048119,27,358.115329937498,191.33508940237,315.58362735341,72,338.767848389186,184.258964817211,282.993250430854,124,2017,200,1130,1135052,86.3886010362694
-73.84130104,40.89547534,"2044800",264.088102670676,103.716341208035,240.357795062563,25,245.375892769512,87.8073051147188,232.007575757576,51,242.647257585321,87.7501455448822,228.102189781022,73,2017,443,699,661241,65.8841607565012
-73.86002624,40.86841656,"2034200",202.253556463358,44.303010296843,189.446083251393,9,206.05711077682,49.3171835656272,204.933333333333,21,197.291091538624,66.7798967727987,187.580184482839,36,2017,269,551,519745,66.2140077821012
-73.85713228,40.86836422,"2034400",252.377462568532,77.8100419931296,256.926861479937,14,247.679653675651,95.6910157130141,246.859517225487,42,244.645097536834,84.9760029330103,241.825095057034,59,2017,347,582,530566,64.207100591716
-73.94622371,40.69496747,"3025901",530.052621573105,59.9759978885701,537.231384307846,5,377.140166711192,174.526434959843,402.575569358178,12,294.118006513635,150.957881307148,264.612954186414,33,2017,159,721,660476,92.6788321167883
-73.94515406,40.69696662,"3025902",0,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0
-73.7383935,40.71973567,"4056600",310.643387491638,66.7858206435462,324.137931034483,7,278.699430608326,77.6943785234898,255.882352941176,31,274.578882812237,80.2825822992659,265.310532841051,48,2017,350,447,568747,84.3488372093023
-73.90216965,40.84048205,"2016700",221.386800334169,0,221.386800334169,1,179.114452798663,47.3041737631405,196.324143692565,5,212.670938771102,93.6535759976288,196.324143692565,9,2017,121,1109,1053253,64.9279279279279
-73.86630031,40.85274292,"2022404",169.937271539891,85.9990692642826,137.568878061584,32,173.612968474981,87.8957606811015,144.646020965599,92,230.81252877539,713.986486854074,141.435544728251,124,2017,29,2155,1951157,74.448275862069
-73.84137151,40.78557713,"4094700",482.995375578446,152.212996072368,456.527551732155,30,436.556609623886,136.241845416084,430.532015065913,66,395.89881282913,148.856092310883,391.549059139785,108,2017,531,824,823569,71.5247524752475
-73.83407076,40.71505673,"4076902",379.889713619326,183.530707130083,309.730341316236,13,328.522103658247,163.841645742665,249.617197812559,37,337.436358578445,171.040915368081,280.030171600981,60,2017,89,681,713066,85.7078651685393
-73.80476076,40.71414955,"4045000",431.317363452984,85.3382153126167,434.920634920635,11,363.033551619389,105.223485592626,381.35593220339,45,337.510480518582,106.143571842631,356.779167878964,64,2017,399,570,642372,82.5601023017903
-73.89437164,40.65099765,"3098200",0,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0
-74.02898901,40.63885965,"3003000",406.0462761388,198.172099708999,396.04887411638,15,359.576361809623,161.257799730371,318.54257436611,56,337.562327862804,148.827323036211,299.104068120065,100,2017,274,725,797133,94.7619047619048
-73.76962853,40.74813622,"4140300",607.864136423167,99.5985411743046,616.512345679012,23,565.281504398078,116.210313162892,569.143818203152,78,512.667918060106,126.583950195946,502.507716049383,128,2017,736,785,981408,68.7773224043716
-73.88341767,40.70932416,"4061302",0,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0
-73.87818597,40.70438549,"4062300",348.416344923653,66.9148439414172,334.221677074041,12,339.162483911483,92.5945410063832,318.840579710145,35,322.31431941743,98.0725556520449,303.102409638554,50,2017,402,821,756874,88.1161616161616
-73.88239855,40.7041291,"4062500",421.494358813257,116.546290902158,425.055928411633,17,385.57384806642,97.8083484445473,377.396276109511,54,351.788780251952,100.332504741892,336.066870583272,82,2017,524,1008,942838,91.8197674418605
-73.8508092,40.73604588,"4074500",342.25890557301,202.763618316048,256.29535568207,10,347.08951181416,165.002496168263,296.375592598257,39,342.538856719566,160.006611458117,283.590763113626,61,2017,162,1599,1451459,71.4213836477987
-73.79825223,40.77979157,"4101700",397.893350445793,201.906646127875,313.396424320279,102,351.797813783193,188.290435688628,282.848758411804,326,335.257612201397,177.846354212968,274.126796077819,508,2017,1262,2482,2728684,65.5214227970897
-73.79668802,40.76909312,"4114100",558.863567576741,135.64353465107,554.187192118227,31,498.120778078804,135.964241978498,505.42987807744,78,467.144503434067,130.296058392834,470.383275261324,135,2017,812,878,1326179,78.84625
-73.82515145,40.7626713,"4086500",1887.95439851295,4946.74603827197,682.820668409261,16,989.327984021225,2783.15782359214,593.824228028504,51,702.491920837638,1925.98089044516,525.093727977449,108,2017,106,2395,1741527,53.5841584158416
-73.8128855,40.71731495,"4077905",386.10659154658,203.446331278244,409.951097804391,65,333.902363267461,182.727058298796,233.356990773598,195,325.063501440553,173.199667347918,247.941802696948,269,2017,60,1242,1190199,44.0877192982456
-73.79784585,40.72024558,"4126700",538.323717211908,89.3648878801646,537.974683544304,27,490.86621092693,116.894588191802,483.200571895425,66,458.091582547719,129.335967341335,441.176470588235,103,2017,603,682,1339203,76.9864636209814
-73.80592262,40.74033386,"4121500",594.048041905955,168.596833511063,601.285460992908,28,524.152893880192,158.687662087213,510.355029585799,81,452.784151142271,150.198224862086,444.834508421465,168,2017,884,1368,1343084,69.4249713631157
-73.79945566,40.73493853,"4122300",570.973125336235,160.173819572533,613.171355498721,31,532.38294652388,167.118676566078,568.561872909699,93,455.258634407981,176.47493770084,457.393483709273,159,2017,856,1184,1450955,62.6099881093936
-73.79118427,40.73525812,"4134100",618.437680326697,177.219100328893,610.395403351373,28,534.132479100186,150.977225437888,554.324628503647,92,496.58361531717,151.131033909742,498.721227621483,145,2017,908,1080,1404812,69.3418708240535
