"boro_ct201","violation_rate","felony_rate","misdemeanor_rate"
"3019000",3.34588038477624,10.2467586783772,16.5202843998327
"3019100",9.86277873070326,20.1543739279588,50.6003430531732
"3019200",3.96825396825397,13.3477633477633,23.8095238095238
"3019300",4.08670931058991,15.4584221748401,29.317697228145
"3019400",2.11800302571861,9.37972768532526,16.036308623298
"3019500",3.86215092097445,11.5864527629234,21.6874628639335
"3019600",2.98644612910636,8.95933838731909,16.0808637721112
"3019700",5.13130093570782,14.790220344099,27.4675520676124
"3019800",8.81316098707403,5.28789659224442,11.7508813160987
"3019900",11.6080573574599,19.8019801980198,33.4585182656197
"3020000",3.53200883002207,6.18101545253863,15.4525386313466
"3020100",7.60011692487577,15.4925460391698,30.9850920783397
"3020200",1.6008537886873,5.86979722518677,10.1387406616862
"3020300",7.07130229817325,23.5710076605775,47.7312905126694
"3020400",1.17096018735363,2.92740046838408,5.26932084309133
"3020500",8.50546780072904,16.6059133252329,22.2762251923856
"3020600",3.6036036036036,4.5045045045045,11.2612612612613
"3020700",2.32018561484919,5.80046403712297,8.81670533642691
"3020800",1.64041994750656,4.92125984251969,5.57742782152231
"3021000",2.26814516129032,5.29233870967742,7.05645161290323
"3021100",18.1818181818182,27.2727272727273,45.4545454545455
"3021200",2.15377988369589,8.18436355804437,12.2765453370666
"3021300",10.4637336504162,19.9762187871581,41.6171224732461
"3021400",2.32342007434944,10.6877323420074,18.1226765799256
"3021500",3.01488599962314,7.53721499905785,13.7554173732806
"3021600",1.2453300124533,2.98879202988792,4.73225404732254
"3021700",10.5643591882124,21.4067278287462,49.2076730608841
"3021800",1.86120712576442,3.45652751927679,11.1672427545865
"3021900",8.34492350486787,14.4645340751043,25.8692628650904
"3022000",2.42964162785989,7.49139501923466,11.5407977323345
"3022100",4.15627597672485,14.1313383208645,24.1064006650042
"3022200",1.70466652461112,4.90091625825698,10.8672490943959
"3022400",2.0051039008385,3.8279256288735,6.92672256653299
"3022600",5.56438791732909,5.56438791732909,19.4753577106518
"3022700",15.3445280833816,49.5078170237406,57.0353213665316
"3022800",3.32728372655777,5.74712643678161,8.16696914700544
"3022900",7.95287187039764,19.7349042709867,19.7349042709867
"3023000",2.43632336655592,2.87929125138427,10.188261351052
"3023100",3.30578512396694,23.1404958677686,24.7933884297521
"3023200",1.57922442533778,2.6320407088963,6.31689770135111
"3023300",10.2746492787987,20.5492985575973,40.901007705987
"3023400",0.790670092903736,4.15101798774461,5.13935560387428
"3023500",8.14663951120163,19.3482688391039,31.5682281059063
"3023600",0.892857142857143,3.03571428571429,4.28571428571429
"3023800",1.52505446623094,3.48583877995643,6.75381263616558
"3024000",1.70466652461112,2.55699978691668,4.4747496271042
"3024100",15.2534768954688,37.6850605652759,57.4248541947061
"3024200",2.34584450402145,21.7828418230563,44.2359249329759
"3024300",5.54675118858954,17.1685155837295,21.3946117274168
"3024400",1.85299567634342,4.94132180358246,11.4268066707844
"3024500",10.3902686264572,22.8079067410035,38.5200202736949
"3024600",2.76412776412776,7.98525798525799,14.4348894348894
"3024700",15.5440414507772,44.4732297063903,82.0379965457686
"3024800",4.81838398813936,11.119347664937,27.0570793180133
"3024900",18.8333769291133,49.6991891184933,44.729270206644
"3025000",1.74216027874564,11.6144018583043,15.0987224157956
"3025100",12.0545073375262,23.3228511530398,39.0461215932914
"3025200",4.59674049310489,7.31299623903051,13.7902214793147
"3025300",8.71459694989107,25.4175744371823,55.5555555555556
"3025400",0.857142857142857,10,8
"3025500",10.9760878087025,17.8361426891415,31.5562524500196
"3025600",3.27011118378025,14.0614780902551,14.0614780902551
"3025700",16.8934772407321,40.8259033317691,58.6579070858752
"3025800",2.39286491189906,9.13639329997825,17.6201870785295
"3025901",6.46766169154229,16.4179104477612,26.865671641791
"3025902",13.7467095642001,18.7189236618894,41.8250950570342
"3026000",5.20690600164429,7.94738284461496,10.9619073718827
"3026100",12.202562538133,20.3376042302217,26.235509456986
"3026200",1.2636899747262,6.318449873631,7.5821398483572
"3026300",18.7366167023555,54.06852248394,87.7944325481799
"3026400",2.83101045296167,7.40418118466899,14.808362369338
"3026500",12.5065138092757,21.3652944241793,30.4846274101094
"3026600",4.28609697294401,5.35762121618002,10.983123493169
"3026700",5.35714285714286,13.5204081632653,20.4081632653061
"3026800",1.67144221585482,6.20821394460363,9.07354345749761
"3026900",12.2743682310469,38.6281588447653,53.0685920577617
"3027000",3.67496937525521,7.34993875051041,9.79991833401388
"3027100",23.0675839740996,46.1351679481991,55.4431404289761
"3027200",3.44827586206897,6.03448275862069,4.59770114942529
"3027300",13.5087095627444,31.638819765375,48.3469605403484
"3027400",1.32100396301189,3.30250990752972,7.92602377807133
"3027500",10.2870813397129,19.6172248803828,29.6650717703349
"3027600",6.49702219815918,7.30914997292907,19.4910665944775
"3027700",14.4486692015209,23.574144486692,37.5158428390368
"3027800",6.2111801242236,16.4596273291925,27.9503105590062
"3027900",8.16548720740338,21.2302667392488,23.4077299945563
"3028000",7.38216922203294,8.51788756388416,11.3571834185122
"3028100",11.2091581206773,25.0417362270451,47.2215597424279
"3028200",5.77641862045532,26.1637784573564,57.0846075433231
"3028300",11.7158896753722,20.5028069319014,36.123993165731
"3028400",4.24681488883337,10.9917561828629,24.2318261304022
"3028501",0,0,0
"3028502",18.9150606709493,29.9785867237687,58.1727337615989
"3028600",5.81636892397175,11.0095554632322,16.6181969256336
"3028700",10.3644266131729,34.1023069207623,65.1955867602808
"3028800",3.47021399652979,10.6998264893002,13.5916714864083
"3028900",11.0231769361221,24.0248728094969,30.808366308649
"3029000",4.59183673469388,14.030612244898,23.2142857142857
"3029100",10.3192518542406,14.8339245404708,29.3453724604966
"3029200",11.4218196140213,26.7821977156361,59.0783773139031
"3029300",12.8783000643915,23.1809401159047,32.5177076625885
"3029400",3.446790176648,6.46273158121499,12.063765618268
"3029500",6.71532846715328,14.014598540146,18.978102189781
"3029600",2.52434186801298,9.01550667147494,10.0973674720519
"3029700",18.5406698564593,47.2488038277512,53.5287081339713
"3029800",5.38068334678504,14.5278450363196,39.2789884315308
"3029900",12.7956572314851,29.0810391624661,31.0197751066305
"3030000",4.12621359223301,7.28155339805825,12.8640776699029
"3030100",12.7272727272727,34.1818181818182,44
"3030200",1.8984337921215,6.64451827242525,9.96677740863787
"3030300",16.5993719156572,21.0856886496187,40.6011664423508
