gid,boro_ct201,total_population,MRR2010,MRR20pctthreshold,strategy_code,race_total,race_white,race_black,race_native_american,race_asian,race_hawaiian,race_other,race_hispanic,language_total_pop,Total 5+,Speak only English,Speak a Language Other than English at Home,Spanish,French (incl. Cajun),Haitian,Italian,Portuguese,German,"Yiddish, Pennsylvania Dutch or other West Germanic languages",Greek,Russian,Polish,Serbo-Croatian,Ukrainian or other Slavic languages,Armenian,"Persian (incl. Farsi, Dari)",Gujarati,Hindi,Urdu,Punjabi,Bengali,"Nepali, Marathi, or other Indic languages",Other Indo-European languages,Telugu,Tamil,"Malayalam, Kannada, or other Dravidian languages","Chinese (incl. Mandarin, Cantonese)",Japanese,Korean,Hmong,Vietnamese,Khmer,"Thai, Lao, or other Tai-Kadai languages",Other languages of Asia,Tagalog (incl. Filipino),"Ilocano, Samoan, Hawaiian, or other Austronesian languages",Arabic,Hebrew,"Amharic, Somali, or other Afro-Asiatic languages","Yoruba, Twi, Igbo, or other languages of Western Africa","Swahili or other languages of Central, Eastern, and Southern Africa",Navajo,Other Native languages of North America,Other and unspecified languages,foreign_born_total,foreign_born_native,foreign_born_foreign,own_vs_rent_total,own_vs_rent_owner,own_vs_rent_rent,hosehold_size_total,household_size_owner_occupied,household_size_renter_occupied,internet_total,internet_subscription,internet_no_subscription,internet_no_access,age_total,age_less_5,age_6_15,age_16_64,age_64_over,median_income,pc_below_poverty,income_houses_total,homes_below_poverty,english_total_households,english_english,english_spanish,english_european,english_asian,english_other,bilingual,Geographic Area Name,Estimate!!Total!!Subject!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 18 to 64 years,Estimate!!Total!!Subject!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 18 to 64 years,Estimate!!Total!!Subject!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 18 to 64 years,Estimate!!Total!!Subject!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 18 to 64 years,Estimate!!Total!!Subject!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population 18 to 64 years,Estimate!!Total!!Subject!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty!!Population 18 to 64 years,hearing_difficulty,vision_difficulty,cognative_difficulty,ambulatory_difficulty,self_care_difficulty,independent_living_difficulty,resp_2010,CRRALL,CRRINT,DRRALL,DRRINT,HISTORIC_RESP_RATE,county,boro_number,diff_2020_2010
36081072100,4072100,4672,77.6,0,0,4672,2665,34,0,934,0,38,806,4334,4190,965,4335,865,0,0,0,0,0,0,0,1970,85,0,40,0,0,0,40,0,0,0,0,170,0,0,0,1075,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,4672,1776,2896,2100,1089,1011,2.22,2.35,2.09,2100,1792,46,262,4672,215,258,3231,1122,63202,28.4,2100,596.4,2100,1568,29,377,99,27,989,"Census Tract 721, Queens County, New York",3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,73,57.8,50.2,0.3,0.2,71,81,4,15.2
36081077903,4077903,3330,80.8,0,0,3330,1715,79,0,638,0,41,643,3361,3030,1030,2610,690,0,0,0,0,0,0,0,110,405,0,0,0,0,80,130,0,60,0,0,280,0,0,0,560,0,0,0,0,0,0,0,0,0,85,130,0,0,0,0,0,80,3330,1757,1573,1162,602,560,2.86,2.8,2.92,1162,960,20,182,3330,303,466,2321,461,78178,19.4,1162,225.428,1162,902,89,48,99,24,539,"Census Tract 779.03, Queens County, New York",2091,2091,2091,2091,2091,2091,2091,2091,2091,2091,2091,2091,77.3,61,52.8,0.2,0.2,73,81,4,16.3
36081084602,4084602,962,56.9,1,2,962,85,248,0,262,0,83,199,1064,0,640,350,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962,571,391,200,128,72,3.69,4.16,2.85,200,189,0,11,962,48,105,811,50,61429,10.5,200,21,200,192,0,0,8,0,72,"Census Tract 846.02, Queens County, New York",723,723,723,723,723,723,723,723,723,723,723,723,50.7813,39.46536,24.61318,0.39252,0.00748,44,81,4,11.31594
36081016600,4016600,4011,63.4,1,3,4011,140,741,85,933,0,734,1119,3585,3400,2205,1500,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,110,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4011,1810,2201,1064,567,497,3.76,4.43,2.99,1064,870,0,194,4011,166,347,3189,489,56364,19.6,1064,208.544,1064,1053,0,0,11,0,396,"Census Tract 166, Queens County, New York",2769,2769,2769,2769,2769,2769,2769,2769,2769,2769,2769,2769,55.1,36,19.8,0.2,0.2,46,81,4,19.1
36081015000,4015000,2610,63.1,1,0,2610,42,149,0,1023,19,790,530,2799,2695,1180,2110,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,810,35,15,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,2610,716,1894,651,436,215,4.01,4.28,3.45,651,527,9,115,2610,80,199,2080,365,74844,8.5,651,55.335,651,597,27,27,0,0,362,"Census Tract 150, Queens County, New York",1862,1862,1862,1862,1862,1862,1862,1862,1862,1862,1862,1862,56.2,36,32.4,0,0,48,81,4,20.2
36081015300,4015300,1976,65,1,0,1976,925,66,0,429,45,0,423,2018,1935,825,1385,600,0,0,0,140,0,0,85,20,25,50,25,0,25,0,0,0,0,90,0,35,0,0,0,125,65,15,0,15,0,25,25,15,0,30,0,0,0,0,0,0,0,1976,1060,916,878,146,732,2.17,2.24,2.15,878,739,8,131,1976,89,122,1587,229,64621,20.2,878,177.356,878,741,80,43,14,0,420,"Census Tract 153, Queens County, New York",1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,58,50.6,45.7,0,0,55,81,4,7.4
36081015700,4015700,1294,69.3,1,0,1294,412,52,0,370,0,10,406,1486,1395,445,1340,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,70,0,0,0,100,0,0,0,0,0,0,65,0,0,185,0,0,0,0,0,0,0,1294,589,705,603,21,582,2.15,2.14,2.15,603,491,7,105,1294,30,73,1135,90,65208,17.2,603,103.716,603,507,26,59,5,6,235,"Census Tract 157, Queens County, New York",1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,65.5,53.1,47.3,0.1,0.1,60,81,4,12.4
36081017000,4017000,2665,54.4,1,2,2665,45,583,130,1057,0,430,288,2800,2665,2055,920,280,0,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,2665,944,1721,738,510,228,3.6,3.75,3.26,738,614,14,110,2665,107,309,2133,303,64000,21,738,154.98,738,667,22,37,12,0,93,"Census Tract 170, Queens County, New York",1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,49.6,36.6,22.4,0.4,0.1,40,81,4,13
36081064500,4064500,2072,75.4,0,0,2072,941,57,0,548,0,0,490,1898,1795,945,890,295,0,0,0,25,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,180,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,2072,1301,771,739,436,303,2.8,2.9,2.64,739,598,27,114,2072,102,300,1408,380,74798,13.7,739,101.243,739,708,0,3,28,0,383,"Census Tract 645, Queens County, New York",1246,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246,70.3,49.8,43,0.3,0.1,65,81,4,20.5
36081066100,4066100,1545,70.5,1,2,1545,1266,42,0,64,0,0,154,1546,1500,970,635,75,0,0,190,0,45,0,15,0,185,40,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1545,1138,407,602,452,150,2.57,2.7,2.16,602,491,0,111,1545,32,177,1090,337,83333,12.6,602,75.852,602,569,0,33,0,0,202,"Census Tract 661, Queens County, New York",953,953,953,953,953,953,953,953,953,953,953,953,64.5,55.3,27.2,0,0,60,81,4,9.2
