"boro_ct201","noise_rate","housing_rate","street_rate"
"1000100",0,0,0
"1000201",218.116415958143,118.378024852845,77.8286461739699
"1000202",305.494805904866,69.8469108802624,66.2930563149262
"1000500",0,0,0
"1000600",190.199700888537,117.09334037125,138.7349344594
"1000700",419.410531508201,58.0836108028117,202.737698853126
"1000800",137.706511175899,191.156462585034,169.484936831876
"1000900",1945.2804377565,474.69220246238,2006.83994528044
"1001001",180.613668061367,34.1701534170153,99.023709902371
"1001002",128.150297846342,16.6488468000611,29.1736673285474
"1001200",249.337650868413,121.577862820135,115.690314983809
"1001300",547.890154052244,163.429336905559,398.303192676937
"1001401",169.051580698835,40.2662229617304,94.5091514143095
"1001402",699.496764917326,337.167505391804,302.300503235083
"1001501",384.55962305183,145.342515404132,310.438564697354
"1001502",503.210272873194,172.953451043339,256.153023006956
"1001600",425.925925925926,189.549422033498,241.212550129748
"1001800",697.806004618938,437.990762124711,208.429561200924
"1002000",189.749847467968,13.6261948342485,43.5224730526744
"1002100",420.529801324503,148.841059602649,313.079470198675
"1002201",445.139105970616,160.831509846827,145.045326664583
"1002202",962.083142987666,451.804476930105,249.88579259936
"1002400",373.205741626794,14.9061464850939,18.5866764814133
"1002500",322.858903265558,17.8681454097351,31.2179092216061
"1002601",636.26723223754,303.022269353128,157.476139978791
"1002602",522.119706647741,310.858765081618,250.532292405962
"1002700",153.481012658228,130.537974683544,571.993670886076
"1002800",347.624402586449,266.235591790835,158.56058476244
"1002900",178.024382619569,186.777117849328,258.674585808065
"1003001",964.603739982191,492.653606411398,373.775601068566
"1003002",830.972311654862,302.96200901481,214.423696072118
"1003100",636.078431372549,133.725490196078,599.21568627451
"1003200",663.711440369201,295.482147194559,211.926159825115
"1003300",490.302560124127,195.88828549263,487.7812257564
"1003400",911.826981246219,546.279491833031,291.591046581972
"1003601",567.344532861774,158.856469201297,182.434423813734
"1003602",467.153284671533,300.539511266265,264.360520469692
"1003700",782.99959133633,348.590110339191,804.658765835717
"1003800",552.668615351305,395.691241745155,248.024250297716
"1003900",622.866894197952,150.511945392491,241.296928327645
"1004000",419.489076407352,277.193388047625,227.025777366778
"1004100",386.849174875272,287.962133810925,241.652807982602
"1004200",280.077745383868,68.8046647230321,179.786200194363
"1004300",591.569086651054,413.348946135831,347.540983606557
"1004400",51.2758495585923,65.7878824525336,37.9126859354215
"1004500",992.957746478873,349.471830985916,884.683098591549
"1004700",896.196513470681,488.51030110935,454.041204437401
"1004800",291.879928067506,194.771061004288,224.789044127818
"1004900",619.182517199514,283.083771752327,342.37150951032
"1005000",386.943620178042,163.006923837784,245.301681503462
"1005200",673.1220657277,209.507042253521,439.260563380282
"1005400",328.26278659612,118.606701940035,255.511463844797
